用户id,是否遇到网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,注明内容,网络信号差/没有信号,显示有信号上不了网,上网过程中网络时断时续或时快时慢,手机上网速度慢,其他，请注明.1,注明内容.1,看视频卡顿,打游戏延时大,打开网页或APP图片慢,下载速度慢,手机支付较慢,其他，请注明.2,,爱奇艺,优酷,腾讯视频,芒果TV,搜狐视频,抖音,快手,火山,咪咕视频,学习强国,其他，请注明.3,注明内容.2,全部都卡顿,和平精英,王者荣耀,穿越火线,梦幻西游,龙之谷,梦幻诛仙,欢乐斗地主,部落冲突,炉石传说,阴阳师,其他，请注明.4,注明内容.3,全部游戏都卡顿,微信,手机QQ,淘宝,京东,百度,今日头条,新浪微博,拼多多,学习强国.1,其他，请注明.5,注明内容.4,全部网页或APP都慢,脱网次数,上网质差次数,微信质差次数,是否投诉,性别,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,是否不限量套餐到达用户
266,1,1,-1,-1,-1,5,-1,-1,98,电梯,1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,女,5G,否,529.82,是,15.0,0.0,243,0,华为,LIO-AN00,154.0,243,143.3,117,0.0,40709954,0,是,银卡,否
267,1,1,2,-1,-1,-1,-1,-1,-1,,1,2,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,39,0,0,否,男,5G,否,0.0,是,0.0,0.0,534,0,苹果,A2404,128.0,534,131.0,430,0.0,15878770,0,是,银卡,否
268,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,3,0,0,否,男,5G,否,0.0,是,0.0,0.0,270,0,华为,JEF-AN00,98.0,270,107.55,1070,0.0,3281282,0,是,银卡,否
269,1,-1,-1,-1,-1,5,-1,-1,-1,,1,2,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,女,5G,否,0.0,是,0.0,0.0,420,0,苹果,A2639,78.0,420,78.0,101,0.0,10498929,0,是,三星,是
270,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2,2,1,否,女,5G,是,0.0,是,0.0,0.0,640,0,华为,JEF-AN20,99.9,640,72.23,380,0.0,79435945,0,是,银卡,否
271,1,1,-1,-1,-1,-1,6,-1,-1,,1,2,3,4,-1,,1,-1,3,-1,5,-1,,-1,-1,-1,-1,-1,6,-1,-1,-1,10,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,5,2,1,否,男,4G,否,0.0,是,0.0,0.0,82,0,华为,VOG-AL00,100.0,82,102.0,123,0.0,47044011,0,否,三星,是
272,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,2,0,否,女,4G,否,0.0,是,0.0,0.0,43,0,华为,ASK-AL00x,20.0,43,20.12,27,0.0,94593681,0,否,二星,否
273,1,-1,-1,-1,-1,-1,6,-1,-1,,1,2,3,4,-1,,-1,-1,3,4,5,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,89,0,华为,CDY-AN00,128.0,89,128.0,96,3.30185008273281e-08,30286051,1,是,银卡,否
274,1,1,-1,-1,-1,-1,-1,-1,-1,,1,2,3,4,-1,,1,2,3,4,-1,-1,,-1,-1,-1,-1,-1,6,-1,-1,-1,10,-1,,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,2,3,4,-1,-1,-1,-1,9,-1,,-1,0,0,0,否,男,4G,否,0.0,是,0.0,0.00485436893203883,206,1,苹果,A2223,80.0,206,83.75,271,2.3846202463177e-05,5158054,123,否,二星,是
275,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,6,0,2,否,女,4G,否,0.0,是,0.0,0.0,91,0,苹果,A2400,39.0,91,39.0,69,0.0,10138803,0,否,三星,否
276,1,1,2,-1,-1,5,-1,-1,-1,,1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2,0,0,否,男,5G,否,0.0,是,0.0,0.0,15,0,小米科技,M2001G7AE,58.0,15,61.0,118,0.0,36129129,0,是,三星,否
277,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,3,0,0,否,男,4G,否,0.0,是,0.0,0.0,74,0,小米科技,M2006J10C,68.0,74,68.0,204,6.25373821210435e-05,13719794,858,否,三星,是
278,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,205,0,苹果,A2644,121.0,205,121.0,151,0.0,59697362,0,是,银卡,否
279,1,-1,-1,-1,-1,-1,6,-1,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,3,0,0,否,男,5G,否,0.0,是,0.0,0.0,46,0,华为,ANA-AN00,39.0,46,39.0,40,0.0,7376620,0,是,三星,否
280,1,1,-1,-1,-1,-1,-1,-1,-1,,1,2,3,4,-1,,1,2,3,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,,-1,1,-1,3,-1,-1,-1,-1,-1,-1,-1,,-1,27,0,0,否,女,5G,否,0.0,是,0.0,0.0,195,0,苹果,A2639,0.0,195,0.0,183,0.0,10493735,0,是,二星,否
281,1,1,2,-1,-1,5,-1,-1,-1,,1,-1,-1,4,-1,,-1,-1,3,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,3,4,5,-1,-1,-1,-1,-1,,-1,30,2,7,否,性别不详,4G,否,0.0,是,0.0,0.0,127,0,小米科技,M1903F2A,55.0,127,55.8,190,0.0,14810340,0,否,三星,否
282,1,-1,2,-1,-1,-1,-1,7,-1,,1,2,-1,4,-1,,1,-1,3,4,-1,-1,,-1,-1,3,-1,-1,6,7,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,3,0,0,否,男,5G,否,0.0,是,0.0,0.0,363,0,苹果,A2412,57.1,363,56.1,381,0.0,23332656,0,是,三星,是
283,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,5,0,0,否,男,5G,否,0.0,是,0.0,0.0,339,0,小米科技,M2007J22C,128.0,339,89.0,261,0.0,55702177,0,是,银卡,否
284,1,1,-1,-1,4,-1,-1,-1,-1,,-1,-1,-1,4,-1,,-1,-1,3,-1,5,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,性别不详,5G,否,0.0,是,0.0,0.0,30,0,华为,CDY-TN20,19.0,30,19.0,15,0.0,1912106,0,是,三星,否
285,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,6,0,0,否,女,4G,否,0.0,是,0.0,0.0,76,0,小米科技,M1805E2A,22.52,76,50.86,144,0.0,3228725,0,否,三星,否
286,1,-1,-1,-1,-1,-1,6,-1,-1,,-1,-1,-1,4,-1,,-1,-1,-1,4,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,4,0,0,否,男,5G,否,0.0,是,0.0,0.0,188,0,华为,LIO-AN00m,79.9,188,131.9,138,0.0,15355515,0,是,银卡,否
287,1,-1,2,-1,-1,-1,-1,7,-1,,1,2,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,8,0,0,否,男,5G,是,0.0,是,0.0,0.0,281,0,华为,ELS-AN00,69.0,281,128.0,258,0.0,10468785,0,是,银卡,否
288,1,-1,-1,-1,-1,-1,-1,-1,98,医院,-1,-1,-1,4,-1,,-1,-1,-1,-1,-1,98,消耗流量多，有什么优惠的流量包？,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2,0,0,否,性别不详,5G,否,1292.64,是,120.0,0.0,267,0,华为,ANA-AN00,194.0,267,49.1,83,0.0,26166875,0,是,三星,否
289,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,126,0,0,否,女,5G,否,0.0,是,0.0,0.0,115,0,步步高,V2061A,60.1,115,60.68,245,0.0,36772535,0,是,三星,否
290,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,4G,否,0.0,是,0.0,0.0,44,0,华为,KNT-AL10,0.0,44,4.35,121,0.0,1974884,0,否,三星,否
291,1,-1,-1,-1,-1,-1,6,-1,-1,,-1,-1,3,4,-1,,1,-1,-1,-1,5,-1,,-1,2,-1,-1,5,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,女,4G,否,0.0,是,0.0,0.0,2,0,华为,HLK-AL00,40.0,2,40.0,20,0.0,4693805,0,否,二星,否
292,1,1,-1,-1,4,-1,-1,7,-1,,1,2,3,4,-1,,1,-1,3,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,3,-1,5,-1,-1,-1,9,-1,,-1,31,0,0,否,男,5G,否,0.0,是,0.0,0.0,903,0,苹果,A2634,89.3,903,80.9,776,0.0,21054622,0,是,三星,是
293,1,1,2,-1,-1,-1,-1,-1,-1,,-1,2,-1,4,-1,,-1,-1,3,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,-1,-1,-1,6,-1,-1,-1,-1,,-1,21,1,0,否,男,5G,否,0.0,是,0.0,0.0,843,0,华为,LIO-AN00,148.0,843,135.35,1457,0.0,48048858,0,是,银卡,否
294,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,4,0,0,否,男,5G,否,0.0,是,0.0,0.0,802,0,华为,TAS-AN00,148.1,802,148.0,417,4.30281434608216e-08,23240603,1,是,银卡,否
295,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,7,0,0,否,男,5G,否,0.0,是,0.0,0.0,589,0,小米科技,M2011K2C,48.0,589,48.0,529,0.0,2639558,0,是,三星,否
296,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,15,0,0,否,男,5G,否,0.0,是,0.0,0.0,299,0,小米科技,M2012K11AC,174.0,299,170.0,226,0.0,56867067,0,是,银卡,否
297,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,4G,否,0.0,是,0.0,0.0,84,0,苹果,A2404,58.0,84,58.0,232,0.0,1239835,0,否,三星,否
298,1,-1,-1,-1,4,-1,-1,-1,-1,,-1,-1,-1,-1,98,流量消耗太快,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,18,0,0,否,男,5G,否,4608.65,是,67.0,0.0,475,0,苹果,A2408,100.6,475,170.7,1509,0.0,59247010,0,是,三星,否
299,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,4G,是,0.0,是,0.0,0.0,479,0,步步高,vivo X9Plus,61.8,479,48.0,278,0.0,16558764,0,否,二星,否
300,1,-1,2,-1,-1,-1,-1,-1,-1,,1,-1,3,4,-1,,-1,-1,-1,4,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,女,5G,否,0.0,是,0.0,0.0,312,0,华为,ELS-AN00,24.3,312,24.3,148,0.0,16714047,0,是,未评级,否
301,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,76,0,苹果,A2408,49.0,76,49.0,13,0.0,2873875,0,是,二星,是
302,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,16,0,0,否,女,4G,是,0.0,是,0.0,0.0,5,0,中兴,NX511J,20.2,5,20.0,2,0.0,5893137,0,否,二星,否
303,1,1,2,-1,4,5,-1,-1,-1,,1,2,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,是,0.0,是,0.0,0.0,536,0,苹果,A2639,10.0,536,10.0,236,0.0,18133437,0,是,一星,否
304,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,7,0,0,否,男,5G,否,0.0,是,0.0,0.0,207,0,苹果,A2644,129.0,207,129.0,271,0.0,26184246,0,是,银卡,否
305,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,4G,否,0.0,是,0.0,0.0,102,0,小米科技,HMNote8ProM1906G7E,20.0,102,18.0,77,0.0,1666588,0,否,二星,否
306,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,129,0,小米科技,M2012K11C,81.0,129,81.0,655,0.0,8884901,0,是,三星,是
307,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,20,0,8,否,女,5G,否,0.0,是,0.0,0.0,216,0,苹果,A2634,40.0,216,38.0,144,0.0,18466365,0,是,三星,否
308,1,1,-1,-1,-1,5,-1,7,-1,,-1,-1,-1,4,-1,,1,-1,-1,4,-1,-1,,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,3,1,0,否,女,4G,否,0.0,是,0.0,0.0,211,0,华为,SPN-AL00,220.0,211,59.2,149,0.0,14667001,0,否,三星,否
309,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,197,0,步步高,V2148A,68.1,197,68.2,208,0.0,11331865,0,是,三星,否
310,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,27,0,0,否,男,5G,否,0.0,是,0.0,0.0,394,0,苹果,A2644,65.9,394,66.2,523,0.0,22008372,0,是,三星,是
311,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,5,0,8,否,女,4G,否,520.41,是,15.0,0.0,947,0,华为,LIO-AL00,146.3,947,97.0,304,0.0,84998550,0,否,银卡,否
312,1,-1,-1,-1,-1,-1,6,-1,-1,,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,10,0,0,否,男,5G,否,0.0,是,0.0,0.0,409,0,华为,TAS-AN00,71.1,409,55.0,449,0.0,10741117,0,是,三星,是
313,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2,0,1,否,女,4G,否,0.0,是,0.0,0.0,13,0,小米科技,M1803E1A,39.0,13,30.44,43,0.0,12221893,0,否,三星,否
314,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,74,0,0,否,性别不详,4G,否,0.0,是,0.0,0.0,207,0,华为,ASK-AL00x,95.0,207,128.0,116,0.0,55796702,0,否,银卡,否
315,1,-1,-1,-1,-1,-1,6,-1,-1,,1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,28,0,1,否,女,4G,否,0.0,是,0.0,0.0,333,0,步步高,vivo Y55,264.9,333,174.69,182,8.96741569089133e-05,175635886,15750,否,银卡,否
316,1,1,-1,-1,-1,5,6,7,-1,,1,2,3,4,-1,,1,-1,-1,4,5,-1,,1,-1,3,-1,-1,6,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,19,0,0,否,女,4G,否,0.0,是,0.0,0.0,523,0,苹果,iPhone 7 A1660,68.0,523,68.0,578,0.0,11942737,0,否,三星,否
317,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,4,1,0,否,女,5G,否,0.0,是,0.0,0.0,159,0,苹果,A2634,49.0,159,34.0,151,0.0,11190736,0,是,三星,否
318,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,女,4G,否,0.0,是,0.0,0.0,0,0,华为,KOZ-AL40,20.0,0,15.24,7,0.0,3903385,0,否,二星,否
319,1,1,2,-1,4,5,-1,-1,-1,,1,-1,3,4,-1,,1,-1,3,4,-1,-1,,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,2,-1,-1,5,6,-1,-1,-1,-1,,-1,0,0,0,否,女,5G,否,277.73,是,52.0,0.0,0,0,华为,BMH-AN10,71.0,0,110.3,154,0.0,44075911,0,是,三星,否
320,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,1,否,男,5G,否,0.0,是,0.0,0.0,97,0,华为,ANG-AN00,101.0,97,30.0,27,0.0,29551668,0,是,银卡,否
