用户,手机上网整体满意度,网络覆盖与信号强度,手机上网速度,手机上网稳定性,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,场景备注数据,网络信号差/没有信号,显示有信号上不了网,上网过程中网络时断时续或时快时慢,手机上网速度慢,其他，请注明.1,现象备注数据,看视频卡顿,打游戏延时大,打开网页或APP图片慢,下载速度慢,手机支付较慢,其他，请注明.2,APP大类备注,爱奇艺,优酷,腾讯视频,芒果TV,搜狐视频,抖音,快手,火山,咪咕视频,其他，请注明.3,APP小类视频备注,全部都卡顿,和平精英,王者荣耀,穿越火线,梦幻西游,龙之谷,梦幻诛仙,欢乐斗地主,部落冲突,炉石传说,阴阳师,其他，请注明.4,APP小类游戏备注,全部游戏都卡顿,微信,手机QQ,淘宝,京东,百度,今日头条,新浪微博,拼多多,其他，请注明.5,APP小类上网备注,全部网页或APP都慢,上网质差次数,脱网次数,重定向次数,2G驻留时长,微信质差次数,王者荣耀质差次数,高单价超套客户（集团）,高频高额超套客户（集团）,套外流量（MB）,套外流量费（元）,是否全月漫游用户,是否不限量套餐到达用户,年龄,性别,王者荣耀使用次数,游戏类APP使用天数,游戏类APP使用次数,王者荣耀使用天数,游戏类APP使用流量,抖音使用流量（MB）,今日头条使用流量,快手使用流量,优酷视频使用流量,腾讯视频使用流量,小视频系APP流量,阿里系APP流量,网易系APP流量,腾讯系APP流量,王者荣耀APP使用流量,蜻蜓FMAPP使用流量,饿了么使用流量,美团外卖使用流量,天猫使用流量,大众点评使用流量,滴滴出行使用流量,通信类应用流量,游戏类应用流量,网页类应用流量,音乐类应用流量,视频类应用流量,邮箱类应用流量,终端类型,操作系统,终端制式,终端品牌,终端品牌类型,是否5G网络客户,当月GPRS资源使用量（GB）,是否校园套餐用户,校园卡无校园合约用户,校园卡校园合约捆绑用户,当月高频通信分公司,畅享套餐档位,畅享套餐名称,主套餐档位,当月MOU,近3个月平均消费（剔除通信账户支付）,近3个月平均消费（元）,本年累计消费（元）,码号资源-激活时间,码号资源-发卡时间,客户星级标识
用户1121,8,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,10.0,119565.0,,,否,否,0.0,0.0,否,否,32,男,0.0,2.0,8.0,0.0,6.0,4006.07,16683.0,2023.0,414.0,5837.0,4008,234,0,9,0,0,0,0,144,9,12,146,0,68,0,4038,0,手机,iOS 9.0,4G终端,苹果,iPhone 6S A1700,否,6.016,否,否,否,城区一分公司,29,畅享套餐29档-语音29流量0,29,26,34.0,34.0,136.1,2015-03-15,2015-03-05,二星
用户1122,7,5,8,5,-1,-1,-1,-1,5,6,-1,-1,,1,2,3,4,-1,,1,2,3,4,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,最右,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,98,LOL,-1,-1,-1,3,4,-1,-1,-1,8,98,手机浏览器,-1,,24.0,24.0,0.0,,,否,否,0.0,0.0,否,否,26,男,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,手机,Android 10,5G终端,华为,NOP-AN00,否,0.0004,否,否,否,房山分公司,8,畅享套餐8档-语音8流量0,8,22,21.33,21.33,72.0,2012-11-18,2012-06-21,二星
用户1123,10,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,是,58,男,0.0,2.0,10.0,0.0,3.0,819.26,90220.0,8.0,5.0,11671.0,819,65,0,12,0,0,0,0,36,0,0,24,0,113,0,1013,0,手机,Android 10,5G终端,华为,CDY-AN00,是,3.8168,否,否,否,城区二分公司,0,0,80,886,58.37,58.37,231.1,,,三星
用户1124,7,7,5,6,1,-1,-1,-1,-1,-1,-1,-1,,-1,2,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,是,是,307.37,30.0,是,否,36,男,,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,手机,,5G终端,苹果,A2644,是,40.1953,否,否,否,不详,0,0,18,36,124.86,124.86,456.53,,,三星
用户1125,3,4,4,4,1,2,-1,-1,5,6,-1,-1,,1,-1,3,4,-1,,1,2,3,-1,5,-1,,1,2,3,4,-1,6,7,-1,-1,-1,,-1,1,2,-1,4,-1,-1,7,-1,-1,-1,-1,,-1,1,-1,3,4,-1,6,-1,8,-1,,-1,,29.0,55.0,34785.0,,2.0,否,否,0.0,0.0,否,否,34,男,83.0,3.0,1437.0,3.0,41436.0,0.0,3333.0,3121.0,0.0,105974.0,3,16,0,163,35,0,0,0,16,0,0,182,40,73,0,137,0,手机,Android 8.1.0,4G终端,欧珀,PACM00,否,2.8047,否,否,否,通州分公司,0,0,25,23,48.33,48.33,190.0,2017-11-28,2017-08-17,二星
用户1126,10,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,27,女,0.0,7.0,454.0,0.0,51777.0,64.9,10778.0,2575.0,16.0,144949.0,67,500,0,231,0,0,20,0,368,6,39,273,51,109,46,287,0,手机,iOS 10.1,4G终端,苹果,iPhone 8 A1863,否,7.7705,否,否,否,顺义分公司,0,0,25,83,29.13,29.13,112.8,2017-04-25,2017-02-14,二星
用户1127,9,9,9,9,-1,-1,-1,-1,5,6,7,-1,,1,2,3,4,-1,,-1,-1,3,-1,5,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,-1,-1,-1,6,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,是,33,男,0.0,29.0,1007.0,0.0,1239.0,4217.2,7911323.0,1169.0,304200.0,307540.0,4218,349,0,754,0,0,9,0,255,2,929,301,1,8097,462,5390,0,手机,,5G终端,苹果,A2634,是,62.1853,否,否,否,大兴分公司,119,畅享套餐119档-语音19流量不限量100,119,322,95.0,95.0,407.25,,,银卡
用户1128,3,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,是,否,60,男,,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,手机,,4G终端,华为,HJC-LX9,否,0.0,否,否,否,不详,29,畅享套餐29档-语音29流量0,29,150,20.13,20.13,119.4,2009-02-18,2009-01-23,三星
用户1129,6,6,6,6,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,295.0,1969648.0,,,否,否,0.0,0.0,否,否,29,性别不详,0.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,13.0,12.0,0,11,0,11,0,0,0,0,10,1,0,18,0,8,0,3,0,手机,Android,5G终端,华为,BMH_AN20,是,9.2809,否,否,否,城区一分公司,39,畅享套餐39档-语音9新流量30,39,41,18.33,18.33,73.2,2016-09-26,2016-09-24,二星
用户1130,10,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,3.0,,82.0,3460.0,,,否,否,0.0,0.0,否,否,48,男,544.0,6.0,2979.0,16.0,1093557.0,540.4,203729.0,833383.0,189407.0,191038.0,1354,295,0,1061,12,0,0,0,214,0,0,497,1068,2184,51,8086,0,手机,Android 8.1.0,4G终端,欧珀,PBEM00,否,26.2307,否,否,否,昌平分公司,0,0,8,32,28.58,28.58,113.75,2013-09-20,2013-09-20,二星
用户1131,8,8,7,7,-1,-1,-1,-1,5,-1,-1,-1,,-1,2,-1,4,-1,,-1,2,3,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,3,-1,-1,-1,-1,-1,98,小红书,-1,,,,,11.0,9.0,否,否,0.0,0.0,否,是,26,女,145.0,9.0,350.0,9.0,16642.0,1104.19,48740.0,203486.0,148517.0,139098.0,1303,2268,0,461,6,0,19,0,1947,37,10,1007,16,831,21,4151,0,手机,iOS 11.0,4G终端,苹果,iPhone X A1865,否,20.0,否,否,否,通州分公司,0,0,60,217,42.3,42.3,168.9,2011-02-01,2010-08-14,三星
用户1132,10,10,10,9,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,7.0,16.0,834.0,,,否,否,0.0,0.0,否,否,46,男,0.0,0.0,0.0,0.0,0.0,0.17,4474.0,29310.0,0.0,3.0,29,30,0,29,0,0,0,0,23,2,0,47,0,17,0,255,0,手机,,5G终端,小米科技,M2012K11AC,否,0.0,否,否,否,城区一分公司,0,0,18,209,44.72,44.72,167.15,,,三星
用户1133,6,7,7,7,1,2,-1,-1,-1,-1,-1,-1,,1,-1,3,4,-1,,-1,-1,3,-1,5,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,,,14.0,63292.0,,,否,否,22.04,6.96,否,否,54,男,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,339.0,1418.0,0,250,0,2,0,0,0,0,117,0,0,37,0,33,3,5,0,手机,Android 9,4G终端,华为,HRY-AL00Ta,否,0.5933,否,否,否,城区三分公司,0,0,5,551,45.04,45.04,176.8,2013-04-20,2013-04-20,三星
用户1134,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,,1,2,3,4,-1,,1,-1,3,4,5,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,淘宝,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,3,4,5,-1,-1,8,-1,,-1,,,89.0,555220.0,,,否,否,0.0,0.0,否,否,39,女,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0,126,0,0,0,0,0,0,104,0,6,6,0,1,6,0,0,手机,Android 10,5G终端,华为,JEF-AN00,是,2.9053,否,否,否,通州分公司,89,畅享套餐89档-语音29新流量60,89,279,105.21,105.21,419.93,2018-08-23,2018-07-26,三星
用户1135,8,8,8,8,-1,2,-1,-1,-1,-1,-1,-1,,1,2,3,4,-1,,1,2,-1,-1,-1,98,打电话,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,20.72,5.8,否,否,32,女,39.0,7.0,347.0,10.0,105579.0,510.05,20765.0,0.0,108.0,2994157.0,510,941,0,3130,1,0,0,0,829,0,0,1487,103,293,153,3506,0,手机,,4G终端,小米科技,HMNote8M1906G7E,否,15.7913,否,否,否,大兴分公司,0,0,5,102,37.71,37.71,151.43,,,三星
用户1136,10,10,10,10,-1,-1,-1,-1,-1,-1,7,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,114.0,143.0,4198.0,,,是,否,0.0,15.0,否,否,43,男,0.0,3.0,6.0,0.0,1.0,11268.24,52678.0,301567.0,162.0,240481.0,11563,367,0,562,0,0,0,0,73,0,0,4587,0,250,331,12655,0,手机,Android 10,4G终端,小米科技,M1912G7BE,否,37.4347,否,否,否,城区一分公司,0,0,18,54,54.19,54.19,282.14,2021-05-20,2021-05-20,一星
用户1137,10,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,60,男,0.0,5.0,151.0,0.0,80.0,608.57,1301601.0,319786.0,0.0,574316.0,921,589,0,881,0,0,0,0,420,0,0,223,0,1403,130,4135,0,手机,Android 8.1.0,4G终端,华为,JSN-AL00,否,24.0339,否,否,否,大兴分公司,0,0,18,41,60.0,60.0,243.89,,,三星
用户1138,8,8,8,8,1,2,3,4,5,6,-1,-1,,1,2,3,4,-1,,1,2,3,4,5,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,,,,,,1.0,是,否,0.0,21.0,否,否,34,男,971.0,2.0,996.0,19.0,259984.0,10.25,960.0,300094.0,589.0,26413.0,303,30,0,574,254,0,1,0,23,0,0,65,254,87,19,405,0,手机,iOS 14.1,5G终端,苹果,A2412,是,25.1172,否,否,否,城区三分公司,0,0,18,327,87.65,87.65,366.95,2012-08-24,2012-08-20,三星
用户1139,9,9,9,9,-1,-1,-1,-1,-1,6,7,-1,,-1,2,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,6.0,208.0,798309.0,,,否,否,0.0,0.0,否,否,32,性别不详,0.0,5.0,40.0,0.0,136.0,0.0,10551.0,0.0,2724.0,15497.0,0,1954,20,39,0,0,45,0,1333,5,0,237,0,565,37,3096,0,手机,,5G终端,苹果,A2639,是,23.4107,否,否,否,通州分公司,19,畅享套餐19档-语音9流量10,19,55,44.0,44.0,176.0,2016-10-22,2016-08-09,二星
用户1140,10,10,9,9,-1,2,-1,-1,5,-1,-1,-1,,1,2,-1,4,-1,,1,2,3,4,-1,-1,,-1,-1,3,-1,-1,6,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,,-1,1,-1,-1,-1,-1,-1,-1,8,-1,,-1,,,148.0,1198919.0,,,否,否,0.0,0.0,否,否,44,男,0.0,1.0,35.0,0.0,13398.0,3.57,3053.0,0.0,0.0,1810.0,4,0,0,2,0,0,0,0,0,0,0,14,13,7,0,5,0,手机,Android 10,5G终端,欧珀,PECM30,是,1.7453,否,否,否,顺义分公司,38,畅享套餐38档-语音18流量20,38,80,38.33,38.33,153.0,,,三星
用户1141,10,9,10,9,1,2,-1,-1,-1,6,-1,-1,,1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,259.0,5260410.0,,,是,否,1161.31,21.0,否,否,54,男,0.0,1.0,2.0,0.0,2400.0,2203.41,8787.0,0.0,89.0,5825.0,2203,31,0,6,0,0,0,0,23,0,0,34,2,765,0,2253,0,手机,,5G终端,摩托罗拉,XT2201-2,是,40.0121,否,否,否,城区一分公司,69,畅享套餐69档-语音9新流量60,69,1042,77.5,77.5,281.51,2021-10-25,2021-10-25,一星
用户1142,6,7,5,7,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,是,否,72,男,,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,手机,Android 9,4G终端,华为,SEA-AL10,否,1.518,否,否,否,不详,89,畅享套餐89档-语音29新流量60,89,14,69.0,69.0,316.0,2015-06-30,2015-06-30,三星
用户1143,10,10,10,10,1,2,-1,-1,5,6,-1,-1,,1,2,3,4,-1,,1,-1,3,4,5,-1,,1,-1,3,-1,-1,6,7,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,2,3,4,5,-1,-1,8,-1,,-1,,6.0,934.0,3376564.0,,,否,否,0.0,0.0,否,否,45,男,0.0,0.0,0.0,0.0,0.0,2577.41,80424.0,4241309.0,23.0,58687.0,6719,1194,0,4237,0,0,0,0,167,0,0,1099,0,545,201,8298,0,手机,Android,5G终端,小米科技,M2104K10AC,是,34.1347,否,否,否,房山分公司,0,0,128,62,149.9,149.9,603.1,,,银卡
用户1144,9,9,9,9,-1,2,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,53,男,0.0,7.0,570.0,0.0,211485.0,4351.31,1019637.0,1794462.0,193.0,101380.0,6104,1307,0,1872,0,0,0,0,1042,1,0,211,207,1183,213,7923,0,手机,Android 9,4G终端,华为,YAL-AL10,否,8.0059,否,否,否,城区二分公司,19,畅享套餐19档-语音19流量0,19,111,28.0,28.0,122.11,,,三星
用户1145,9,8,8,7,-1,-1,-1,-1,5,-1,-1,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,71,女,0.0,0.0,0.0,0.0,0.0,0.0,43378.0,6930.0,0.0,422762.0,7,107,0,421,0,0,0,0,87,0,0,490,0,92,0,525,0,手机,iOS 11.0,4G终端,苹果,iPhone X A1865,否,7.3049,否,否,否,通州分公司,0,0,10,71,15.05,15.05,60.15,,,三星
用户1146,10,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,25.0,123.0,92104.0,,,否,否,0.0,0.0,否,否,51,男,0.0,1.0,23.0,0.0,1502.0,4706.8,348168.0,515264.0,183.0,487139.0,5210,276,0,1708,0,0,0,0,116,0,20,806,1,449,16,6169,0,手机,Android 8.1.0,4G终端,华为,JKM-AL00,否,17.4315,否,否,否,大兴分公司,0,0,8,140,53.6,53.6,219.8,,,三星
用户1147,10,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,7.0,,否,否,0.0,0.0,否,否,36,女,0.0,3.0,146.0,0.0,10360.0,4142.17,34035.0,30.0,57.0,3853635.0,4142,856,0,4266,0,0,0,0,554,0,0,1365,10,463,62,11614,0,手机,Android 10,5G终端,华为,TAS-AN00,否,35.6762,否,否,否,城区三分公司,9,畅享套餐9档-语音9流量0,9,79,39.0,39.0,156.0,,,三星
用户1148,10,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,54,女,0.0,11.0,72.0,0.0,76.0,0.0,3508.0,1742.0,26.0,9298.0,2,730,0,11,0,0,0,0,316,4,0,152,0,591,144,1529,0,手机,,4G终端,苹果,A2111,否,6.7481,否,否,否,城区三分公司,0,0,10,95,46.97,46.97,141.05,,,三星
用户1149,10,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,266.0,1634.0,486329.0,,,否,否,0.0,0.0,否,否,43,男,0.0,1.0,2.0,0.0,0.0,218.51,6350.0,83387.0,411.0,16608.0,300,90,0,108,0,0,0,0,48,1,198,146,0,120,239,373,0,手机,,5G终端,步步高,V2072A,是,33.9538,否,否,否,城区一分公司,49,畅享套餐49档-语音19流量30,49,211,25.0,25.0,106.08,2021-06-15,2021-06-15,一星
用户1150,8,9,8,9,1,2,-1,-1,5,-1,-1,-1,,1,-1,3,4,-1,,1,-1,3,4,-1,-1,,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,5.0,,,,2.0,,否,否,0.0,0.0,否,否,40,男,0.0,4.0,3208.0,0.0,42145.0,8255.51,3954860.0,1544.0,1144.0,10955.0,8257,10837,0,14,0,0,12,0,3400,35,0,328,41,5001,2,16566,0,手机,Android 9.0,5G终端,步步高,V1916A,是,22.4429,否,否,否,城区二分公司,0,0,11,130,26.17,26.17,94.52,2010-09-23,2010-09-21,三星
用户1151,10,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,50,女,0.0,1.0,9.0,0.0,85.0,0.0,49.0,30808.0,6623.0,163.0,30,89,0,31,0,0,0,0,59,0,0,80,0,57,1,38,0,手机,Android 6.0,4G终端,华为,BLN-AL10,否,1.0332,否,否,否,不详,8,畅享套餐8档-语音8流量0,8,38,18.0,18.0,72.0,,,三星
用户1152,8,5,6,8,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,3,4,-1,,1,2,3,4,5,-1,,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,2,-1,-1,-1,-1,-1,8,-1,,-1,,8.0,411.0,2051796.0,,,否,否,0.0,0.0,否,否,39,性别不详,613.0,7.0,1649.0,20.0,237858.0,6368.93,23254.0,10978.0,70.0,71023.0,6380,1082,124,420,231,0,15,0,726,26,0,776,232,342,129,6872,0,手机,iOS 12.0,4G终端,苹果,A2223,否,16.2442,否,否,否,城区三分公司,0,0,5,25,40.25,40.25,159.82,2015-07-15,2015-06-17,二星
用户1153,8,8,8,7,-1,-1,-1,4,-1,-1,-1,-1,,1,-1,-1,4,-1,,-1,-1,3,-1,5,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,3,4,-1,-1,7,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,28,女,0.0,1.0,5.0,0.0,1.0,0.0,425.0,0.0,154.0,87417.0,0,208,0,175,0,0,1,0,39,2,0,221,0,237,71,119,0,手机,Android 10,5G终端,华为,OXF-AN00,是,4.8719,否,否,否,城区二分公司,0,0,128,124,90.0,90.0,360.0,,,银卡
用户1154,10,10,10,10,1,-1,-1,-1,-1,-1,-1,98,天气不好时,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,32,男,0.0,16.0,475.0,0.0,202561.0,0.0,24451.0,0.0,12.0,2614016.0,0,1,0,2563,0,0,0,0,0,0,0,1548,198,119,0,3112,0,手机,Android 8.1.0,4G终端,华为,JKM-AL00a,否,11.462,否,否,否,城区二分公司,8,畅享套餐8档-语音8流量0,8,115,20.85,20.85,80.54,2011-08-27,2011-08-04,三星
用户1155,1,1,1,1,-1,2,-1,-1,5,-1,-1,-1,,1,2,3,4,-1,,1,2,3,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,,-1,3.0,,143.0,305837.0,,,否,否,0.0,0.0,否,否,36,男,503.0,3.0,652.0,17.0,103885.0,79.17,3574649.0,230729.0,163.0,8653.0,304,847,38,406,96,0,1,0,649,2,70,600,101,4354,152,330,0,手机,Android 10,5G终端,步步高,V2011A,是,28.6119,否,否,否,城区三分公司,0,0,128,183,135.0,135.0,540.0,2011-05-08,2011-04-21,银卡
用户1156,10,10,10,7,-1,-1,3,-1,-1,-1,7,-1,,-1,2,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,是,否,43,性别不详,,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,手机,,5G终端,小米科技,21091116UC,否,0.0,否,否,否,不详,0,0,8,22,13.1,13.1,62.3,2014-06-19,2014-03-12,二星
