用户id,语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,用户描述,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,其他，请注明.1,用户描述.1,脱网次数,mos质差次数,未接通掉话次数,重定向次数,重定向驻留时长,家宽投诉,资费投诉,4\5G用户,语音方式,是否关怀用户,是否去过营业厅,ARPU（家庭宽带）,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,是否实名登记用户,客户星级标识,当月欠费金额,前第3个月欠费金额
1269,10,7,8,9,1,-1,-1,-1,-1,5,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,0,3,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,59,0,苹果,iPhone X A1865,18.0,59,0.0,264,0.0,1667281,0,否,否,二星,0.0,0.0
1270,9,7,8,9,1,-1,2,-1,-1,-1,-1,-1,-1,,-1,-1,3,4,-1,-1,-1,,0,1,0,,,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,78,0,步步高,V2156A,38.1,78,0.0,69,0.0,5169513,0,是,否,三星,0.0,0.0
1271,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,1,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,20,0,苹果,A2104,11.0,20,0.0,99,0.0,10560,0,否,否,三星,0.0,0.0
1272,10,10,9,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,1,0,16.0,384.0,0,0,5G,EPSFB,,是,0.0,1575.88,是,30.0,0.0,324,0,华为,NOH-AN01,160.0,324,0.0,329,0.0,65913435,0,是,否,银卡,0.0,0.0
1273,9,9,9,9,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,-1,-1,,0,6,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,495,0,苹果,A2634,20.0,495,0.0,427,0.0,24048743,0,否,否,三星,0.0,0.0
1274,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,383,0,华为,ALA-AN70,15.0,383,0.0,519,0.0,6367812,0,否,否,三星,0.0,0.0
1275,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,68,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,0.0,1,0,苹果,iPhone X A1865,18.3,1,0.0,10,0.0,19728888,0,否,否,三星,0.0,0.0
1276,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,68,2,21,60.0,5697.0,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,486,0,华为,TAS-AN00,60.0,486,0.0,518,0.0,10110038,0,是,否,二星,0.0,8.09
1277,10,10,10,8,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,-1,-1,,0,5,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,1617,0,华为,COL-AL10,68.0,1617,0.0,2282,0.0,6499765,0,否,否,三星,0.0,0.0
1278,9,9,8,10,1,1,2,-1,-1,-1,-1,-1,-1,,-1,2,-1,4,-1,6,-1,,0,4,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,674,0,华为,TAS-AN00,56.0,674,0.0,587,0.0,294756,0,否,否,三星,0.0,0.0
1279,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,9,1,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,186.0,0.0,337,0,华为,ELE-AL00,380.9,337,0.0,579,0.0,112284732,0,否,是,银卡,0.0,0.0
1280,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,98.0,2352.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,95,0,华为,ANG-AN00,139.0,95,0.0,220,0.0,19858374,0,是,否,银卡,0.0,0.0
1281,10,10,9,9,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,1,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,30,0,苹果,A2220,50.0,30,0.0,45,0.0,2627519,0,否,否,三星,0.0,0.0
1282,10,5,10,10,1,1,-1,-1,-1,5,-1,-1,-1,,-1,-1,3,-1,-1,-1,-1,,22,4,1,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,319,0,苹果,A2223,100.0,319,0.0,383,0.0,13657361,0,否,否,三星,0.0,0.0
1283,5,5,5,3,1,1,-1,-1,4,-1,-1,-1,-1,,1,2,-1,4,-1,-1,-1,,15,16,1,654.0,16616.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,401,0,苹果,A2408,58.0,401,0.0,394,0.0,13802005,0,是,否,三星,0.0,0.0
1284,10,8,8,8,1,1,2,-1,-1,-1,6,7,98,我用的是全球通号码，到村里就没有网络了，打过好几次客服电话无果，愧对全球通，通全球的口号，连村里都通不了，到屋就网络卡了，可笑啊,1,2,-1,-1,-1,6,-1,,0,0,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,334,0,华为,LON-AL00,105.0,334,0.0,441,0.0,27798603,0,否,否,银卡,100.12,11.83
1285,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,0.0,64,0,苹果,A2223,139.3,64,0.0,85,0.0,6360735,0,否,否,银卡,0.0,92.36
1286,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,68,1,0,119.0,2662.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,152,0,华为,NOH-AN01,215.7,152,0.0,167,0.0,5024378,0,是,否,银卡,0.0,0.0
1287,10,8,8,10,1,-1,-1,-1,4,5,-1,-1,-1,,1,-1,-1,-1,-1,-1,-1,,0,0,2,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,140,0,苹果,iPhone 8 Plus A1864,69.0,140,0.0,141,0.0,4650189,0,否,否,三星,0.0,0.0
1288,10,10,10,10,1,-1,2,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,-1,-1,,0,7,8,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,139,0,小米科技,M2004J7AC,49.0,139,0.0,253,0.0,23991090,0,否,否,三星,0.0,0.0
1289,10,9,10,9,1,-1,-1,-1,-1,5,-1,7,-1,,1,-1,3,4,-1,6,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,0.0,145,0,华为,BKL-AL00,50.0,145,0.0,64,0.0,3224758,0,否,否,三星,0.0,0.0
1290,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,1,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,814,0,苹果,A2104,42.15,814,0.0,449,0.0,27231971,0,否,否,三星,0.0,0.0
1291,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,178.0,5045.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,125,0,华为,NOH-AN00,90.0,125,0.0,212,0.0,53707430,0,是,否,银卡,0.0,0.0
1292,10,6,10,10,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,-1,-1,,0,0,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,93,0,华为,COL-AL10,64.0,93,0.0,87,0.0,16136115,0,否,否,三星,0.0,0.0
1293,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,1,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,627,0,苹果,iPhone XS MAX (A1921),136.9,627,0.0,263,0.0,12538356,0,否,否,银卡,0.0,0.0
1294,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,0.0,170,0,华为,CLT-AL00,58.75,170,0.0,115,0.0,63820208,0,否,否,三星,0.0,0.0
1295,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,1,0,,,0,0,5G,EPSFB,,,20.0,0.0,是,0.0,0.0,217,0,华为,OXF-AN10,79.9,217,20.0,157,0.0,4925091,0,是,否,三星,0.0,0.0
1296,1,1,5,1,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,3,4,5,-1,-1,,6,16,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,747,0,苹果,A2634,133.51,747,0.0,902,0.0,2856021,0,是,否,银卡,0.0,0.0
1297,8,7,8,9,1,-1,-1,-1,-1,5,-1,7,-1,,-1,-1,3,-1,-1,6,-1,,0,1,0,,,0,0,4G,VOLTE,,是,0.0,43.76,是,10.0,0.0,519,0,苹果,iPhone 8 Plus A1864,49.19,519,0.0,576,0.0,4438431,0,否,否,三星,0.0,0.0
1298,10,10,10,10,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,6,-1,,0,3,4,418.0,12855.0,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,359,0,苹果,A2412,81.0,359,0.0,403,0.0,30606359,0,是,否,三星,0.0,0.0
1299,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,1,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,144,0,华为,HMA-TL00,95.0,144,0.0,105,0.0,11263452,0,否,否,三星,0.0,0.0
1300,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,1,2,101.0,2384.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,423,0,华为,LIO-AN00,70.0,423,0.0,444,0.0,11758048,0,是,否,三星,0.0,0.0
1301,8,9,9,10,1,-1,2,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,5,-1,-1,,0,25,16,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,2901,0,苹果,iPhone 7Plus A1661,147.0,2901,0.0,2241,0.0,15568504,0,否,是,三星,0.0,0.0
1302,2,2,2,2,1,1,2,-1,-1,-1,-1,-1,-1,,-1,2,3,4,-1,6,-1,,0,16,4,,,0,0,4G,VOLTE,,是,9.0,0.0,是,0.0,0.0,830,0,苹果,A2644,83.2,830,9.0,537,0.0,15610616,0,否,否,三星,0.0,0.0
1303,7,6,6,6,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,4,-1,6,-1,,67,2,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,176,0,小米科技,MDE40,30.12,176,0.0,224,0.0,5411560,0,否,否,三星,0.0,0.0
1304,10,10,10,10,1,1,-1,-1,-1,-1,6,7,-1,,1,-1,-1,4,-1,6,-1,,0,6,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,551,0,华为,LIO-AL00,140.0,551,0.0,708,0.0,9702350,0,否,否,银卡,0.0,0.0
1305,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,0.0,175,0,苹果,A2223,65.0,175,0.0,182,0.0,7121377,0,否,否,三星,0.0,0.0
1306,9,9,9,7,1,1,-1,-1,4,-1,-1,-1,-1,,-1,-1,3,-1,-1,6,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,0.0,263,0,华为,VOG-TL00,60.0,263,0.0,282,0.0,654568,0,否,否,三星,0.0,0.0
1307,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,132,0,步步高,V1934A,16.0,132,0.0,191,0.0,15505802,0,否,否,三星,0.0,0.0
1308,7,6,7,7,1,1,-1,-1,-1,5,-1,-1,-1,,1,-1,3,4,-1,6,-1,,0,3,2,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,512,0,华为,TAS-AN00,45.52,512,0.0,559,0.0,16911416,0,是,是,三星,0.0,0.0
1309,8,10,10,1,1,1,2,3,4,-1,-1,-1,98,开车路上，家里，随时断线,-1,2,3,4,-1,6,98,还经常没网,0,5,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,392,0,华为,TAS-AL00,71.32,392,0.0,458,0.0,6155172,0,否,否,三星,0.0,0.0
1310,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,394,0,欧珀,PEDM00,90.0,394,0.0,266,0.0,3491727,0,是,是,银卡,0.0,0.0
1311,8,8,8,8,1,-1,2,-1,-1,5,-1,-1,-1,,-1,-1,-1,4,-1,6,-1,,0,1,0,140.0,2240.0,0,0,5G,EPSFB,,是,0.0,0.0,是,11.74,0.0,341,0,华为,OXF-AN00,100.0,341,0.0,276,0.0,15616960,0,是,否,三星,0.0,0.0
1312,8,7,8,8,1,1,2,-1,-1,-1,-1,-1,-1,,-1,2,3,4,-1,6,-1,,0,0,0,49.0,1280.0,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,737,0,欧珀,PEGM00,198.0,737,0.0,814,0.0,2879080,0,是,否,银卡,0.0,0.0
1313,4,3,3,3,1,1,2,3,4,5,-1,7,-1,,-1,2,3,4,-1,6,-1,,26,1,1,,,0,0,4G,VOLTE,,是,0.0,0.0,是,80.0,0.0,150,0,苹果,A2223,148.0,150,0.0,227,0.0,4590102,0,否,否,三星,0.0,0.0
1314,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,65,10,1,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,466,0,苹果,A2412,135.0,466,0.0,395,0.0,75583141,0,否,否,银卡,0.0,0.0
1315,9,9,9,9,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,,0,1,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,217,0,华为,YAL-AL50,59.0,217,0.0,216,0.0,4328648,0,否,否,一星,0.0,0.0
1316,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,3,2,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,236,0,苹果,A2104,23.0,236,0.0,211,0.0,7411246,0,否,是,三星,0.0,0.0
1317,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,1,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,1554,0,华为,TAS-AN00,48.48,1554,0.0,1147,0.0,7137049,0,是,否,三星,0.0,0.0
1318,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,64,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,60,0,摩托罗拉,XT2175-2,128.0,60,0.0,151,0.0,23233809,0,是,否,银卡,0.0,0.0
1319,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,64,7,5,1466.0,34528.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,822,0,欧珀,PDPM00,90.0,822,0.0,1019,0.0,27001859,0,是,否,三星,60.0,0.0
1320,9,9,9,9,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,33,0,步步高,V2123A,20.0,33,0.0,24,0.0,144214,0,是,否,三星,0.0,0.0
1321,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,1,2,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,122,0,三星,SM-C7100,20.0,122,0.0,127,0.0,1312707,0,否,否,三星,0.0,0.0
1322,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,2,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,153,0,苹果,A2108,18.0,153,0.0,197,0.0,2698289,0,否,否,三星,0.0,0.0
1323,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,0.0,204,0,华为,HRY-AL00,110.0,204,0.0,460,0.0,5876522,0,否,否,银卡,0.0,0.0
1324,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,3,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,270,0,华为,STF-AL00,53.0,270,0.0,252,0.0,13021378,0,否,否,三星,0.0,0.0
1325,8,5,8,7,1,1,2,-1,4,5,-1,7,98,很多地区，比如部队院，单位院子，信号很差,1,2,3,4,-1,6,-1,,20,0,3,82.0,7430.0,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,796,0,苹果,A2634,205.0,796,0.0,1100,0.0,22112648,0,是,否,银卡,0.0,0.0
1326,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,2,8,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,1252,0,华为,HMA-AL00,235.33,1252,0.0,686,0.0,11610167,0,否,否,金卡,73.45,0.0
1327,10,10,10,10,1,1,-1,-1,-1,5,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,,0,1,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,93,0,小米科技,M2102K1C,131.3,93,0.0,111,0.0,862549,0,是,否,银卡,0.0,0.0
1328,4,4,4,4,1,1,-1,-1,-1,-1,-1,-1,98,街道,1,-1,3,-1,-1,6,-1,,0,15,2,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,561,0,苹果,A2223,138.49,561,0.0,816,0.0,8562172,0,否,否,银卡,0.0,0.0
1329,5,5,5,4,1,1,2,-1,-1,5,-1,-1,-1,,1,-1,3,4,-1,6,-1,,0,5,2,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,301,0,苹果,iPhone X A1865,108.0,301,0.0,263,0.0,20355965,0,否,否,银卡,0.0,0.0
1330,9,9,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,63,1,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,475,0,华为,ELE-AL00,59.1,475,0.0,452,0.0,2772657,0,否,否,银卡,0.0,0.0
1331,5,4,3,3,1,1,2,-1,-1,-1,-1,-1,-1,,1,-1,-1,4,-1,6,-1,,0,15,2,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,684,0,苹果,A2104,72.1,684,0.0,813,0.0,25446926,0,否,否,三星,0.0,0.0
1332,8,8,8,8,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,3,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,122,0,苹果,A2223,10.0,122,0.0,81,0.0,39327,0,否,否,三星,0.0,0.0
1333,8,8,8,8,1,1,-1,-1,-1,-1,-1,-1,-1,,1,2,3,-1,-1,6,-1,,0,4,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,147,0,苹果,iPhone X A1901,66.0,147,0.0,156,0.0,2598587,0,否,否,三星,0.0,0.0
1334,8,7,8,9,1,1,2,-1,4,5,-1,7,-1,,1,2,3,4,-1,-1,-1,,61,13,2,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,957,0,苹果,A2644,105.33,957,0.0,804,0.0,6455576,0,否,否,三星,0.0,0.0
1335,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,2,0,,,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,140,0,华为,JSN-AL00,37.9,140,0.0,116,0.0,11545995,0,是,否,三星,0.0,0.0
1336,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,61,16,1,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,796,0,苹果,A2412,58.0,796,0.0,1366,0.0,17186030,0,否,否,三星,0.0,0.0
1337,8,9,8,8,1,-1,2,-1,-1,5,-1,7,-1,,-1,-1,3,4,-1,6,-1,,61,8,2,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,607,0,小米科技,M2010J19SC,49.0,607,0.0,940,0.0,5644788,0,否,否,三星,0.0,0.0
1338,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,61,2,0,228.0,4640.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,76,0,华为,NOP-AN00,71.8,76,0.0,309,0.0,13663824,0,是,否,三星,0.0,0.0
1339,8,8,8,8,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,4,-1,6,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,117,0,华为,NOP-AN00,143.0,117,0.0,145,0.0,6904852,0,是,否,银卡,0.0,0.0
1340,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,587,0,华为,OXF-AN10,95.41,587,0.0,431,0.0,252342,0,否,否,三星,39.13,58.08
1341,7,7,8,8,1,1,2,-1,4,5,-1,-1,-1,,1,2,3,-1,-1,6,-1,,0,17,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,503,0,苹果,A2400,79.0,503,0.0,514,0.0,3346277,0,否,否,三星,0.0,0.0
1342,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,1,1,,,0,0,4G,VOLTE,,是,0.0,36.89,是,6.67,0.0,241,0,苹果,A2100,98.87,241,0.0,405,0.0,22401632,0,否,否,三星,0.0,0.0
1343,9,9,9,9,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,0,2,0,251.0,6704.0,0,0,5G,EPSFB,,,0.0,0.0,是,0.0,0.0,90,0,苹果,A2639,69.0,90,0.0,84,0.0,4275632,0,是,否,三星,0.0,0.0
1344,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,0.0,288,0,华为,AQM-AL10,50.0,288,0.0,259,0.0,27770490,0,否,否,三星,0.0,0.0
1345,4,3,4,3,1,1,2,-1,-1,-1,-1,-1,-1,,1,2,3,-1,-1,6,-1,,11,14,2,607.0,13604.0,0,0,5G,EPSFB,,是,39.0,0.0,是,0.0,0.0,1178,0,苹果,A2644,390.47,1178,39.0,829,0.0,15285422,0,是,否,白金卡,0.0,0.0
1346,10,10,9,9,1,-1,-1,-1,-1,5,-1,-1,-1,,1,2,-1,-1,-1,-1,-1,,0,1,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,10.0,0.0,204,0,苹果,A2223,67.0,204,0.0,88,0.0,40799672,0,否,否,三星,0.0,0.0
1347,10,8,8,8,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,251,0,步步高,V2024A,44.0,251,0.0,320,0.0,12823361,0,是,否,三星,0.0,0.0
1348,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,3,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,422,0,华为,LSA-AN00,46.05,422,0.0,353,0.0,4590245,0,是,是,三星,0.0,0.0
1349,10,9,10,9,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,6,-1,,0,1,2,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,335,0,华为,NOH-AN01,50.0,335,0.0,404,0.0,13767721,0,是,否,三星,0.0,0.0
1350,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,24,3,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,0.0,495,0,苹果,iPhone 6 A1586,50.33,495,0.0,369,0.0,5724183,0,否,否,三星,0.0,0.0
1351,8,9,9,10,1,-1,-1,-1,4,-1,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,0.0,55,0,华为,RNE-AL00,41.6,55,0.0,89,0.0,297846,0,否,否,三星,0.0,0.0
1352,10,10,7,9,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,3,2,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,142,0,小米科技,M2004J7BC,30.0,142,0.0,87,0.0,38323944,0,是,是,二星,0.0,0.0
1353,10,8,10,9,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,,0,1,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,0.0,195,0,华为,JEF-AN00,62.4,195,0.0,741,0.0,7664525,0,是,否,三星,0.0,0.0
1354,4,2,3,3,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,3,-1,-1,-1,-1,,31,6,2,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,566,0,苹果,iPhone X A1865,13.0,566,0.0,355,0.0,43253548,0,否,否,三星,0.0,0.0
1355,10,10,10,10,1,-1,-1,-1,-1,5,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,0,7,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,402,0,华为,MHA-AL00,110.0,402,0.0,540,0.0,17241687,0,否,否,银卡,0.0,0.0
1356,10,7,10,6,1,-1,-1,-1,-1,5,-1,7,-1,,-1,-1,3,-1,-1,6,-1,,61,11,0,,,0,0,4G,VOLTE,,,0.0,0.0,是,0.0,0.0,281,0,华为,JAD-AL50,189.0,281,0.0,223,0.0,14989755,0,否,否,银卡,0.0,174.6
