用户id,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,用户描述,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,其他，请注明.1,用户描述.1,脱网次数,mos质差次数,未接通掉话次数,是否投诉,性别,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,是否不限量套餐到达用户
396,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,114,27,11,否,女,4G,否,0.0,是,0.0,0.0,646,0,苹果,A2220,227.3,646,242.0,858,0.0,22680081,0,否,银卡,否
397,1,-1,-1,-1,-1,-1,-1,7,-1,,-1,-1,3,-1,-1,-1,-1,,10,2,4,否,性别不详,5G,是,0.0,是,0.0,0.0,306,0,华为,HJC-AN90,68.0,306,68.0,338,0.0,8222127,0,是,三星,否
398,1,-1,2,-1,-1,5,-1,-1,-1,,-1,-1,3,4,5,6,-1,,27,9,3,否,女,4G,否,0.0,是,0.0,0.0,658,0,苹果,iPhone 8 Plus A1864,150.0,658,30.0,545,0.0,3518068,0,否,三星,否
399,1,-1,-1,-1,-1,-1,-1,-1,98,哪都有可能,-1,-1,-1,-1,-1,6,-1,,19,9,4,否,男,4G,否,0.0,是,0.0,0.0,416,0,华为,EML-AL00,90.49,416,90.0,293,0.0,6331207,0,否,银卡,否
400,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,46,16,5,否,女,4G,否,0.0,是,0.0,0.0,295,0,步步高,vivo X9,24.1,295,24.0,99,0.0,5572287,0,否,三星,否
401,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,3,33,3,否,男,4G,是,0.0,是,0.0,0.0,585,0,步步高,V1914A,111.0,585,111.6,751,0.0,32216914,0,否,银卡,否
402,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,4,-1,-1,-1,,1,3,0,否,男,4G,否,0.0,是,0.0,0.0,234,0,苹果,iPhone 8 A1863,10.0,234,11.0,160,0.0,4788350,0,否,二星,否
403,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,0,9,0,否,男,5G,否,0.0,是,0.0,0.0,164,0,苹果,A2412,40.38,164,36.26,148,0.0,1317100,0,是,三星,否
404,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,1,0,0,否,男,5G,否,0.0,是,0.0,0.0,121,0,华为,NOH-AN00,130.0,121,47.0,35,0.0,4335095,0,是,三星,否
405,1,1,2,-1,-1,5,-1,-1,-1,,-1,-1,3,4,-1,6,-1,,10,14,2,否,男,4G,否,0.0,是,0.0,0.0,375,0,华为,TAS-AL00,205.0,375,205.0,316,0.0,62798704,0,否,三星,否
406,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,4,5,-1,-1,,4,7,0,否,男,4G,否,0.0,是,0.0,0.0,336,0,欧珀,PDVM00,12.0,336,28.0,103,0.0,17776564,0,否,三星,否
407,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,7,14,0,否,男,4G,否,0.0,是,0.0,0.0,316,0,华为,COL-AL10,19.35,316,18.3,160,0.0,28121125,0,否,二星,否
408,1,-1,-1,-1,-1,-1,6,-1,-1,,-1,-1,-1,-1,-1,6,-1,,0,0,1,否,男,5G,否,0.0,是,0.0,0.0,1428,0,华为,LIO-AN00m,49.9,1428,49.9,361,0.0,38418482,0,是,三星,否
409,1,1,-1,-1,-1,-1,6,-1,-1,,1,2,-1,4,-1,-1,-1,,43,22,0,否,男,4G,否,36.79,是,8.34,0.0,292,0,中邮通信,Hera-BD00,50.1,292,30.0,174,0.0,14403672,0,否,三星,否
410,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,3,1,0,否,男,5G,否,0.0,是,0.0,0.0,430,0,华为,NOH-AN00,68.0,430,68.0,272,0.0,13226129,0,是,三星,是
411,1,-1,2,-1,-1,-1,-1,-1,-1,,-1,-1,3,4,-1,-1,-1,,34,127,2,否,女,5G,否,0.0,是,0.0,0.0,1930,0,苹果,A2412,254.35,1930,78.0,387,0.0,32899109,0,是,三星,是
412,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,21,19,5,否,女,4G,否,0.0,是,0.0,0.0,248,0,苹果,A2104,42.8,248,42.0,241,0.0,34051671,0,否,三星,是
413,1,1,2,-1,-1,-1,-1,-1,-1,,1,-1,3,4,-1,6,-1,,2,29,1,否,女,4G,否,0.0,是,0.0,0.0,330,0,苹果,iPhone 7 A1660,70.0,330,70.0,147,0.0,1582755,0,否,三星,是
414,1,1,2,-1,-1,-1,6,-1,-1,,1,-1,-1,4,-1,-1,-1,,5,31,4,否,男,4G,否,0.0,是,0.0,0.0,1094,0,苹果,iPhone 8 A1863,125.0,1094,125.0,438,0.0,6420037,0,否,银卡,是
415,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,37,11,1,否,男,4G,是,0.0,是,0.0,0.0,182,0,小米科技,MDE40,29.0,182,31.32,189,0.0,21860236,0,否,三星,否
416,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,5,1,否,女,4G,否,0.0,是,0.0,0.0,216,0,苹果,iPhone 8 A1863,92.8,216,89.38,229,0.0,19346101,0,否,三星,否
417,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,6,22,0,否,女,4G,否,0.0,是,0.0,0.0,311,0,华为,BMH-AN10,55.2,311,56.9,325,0.0,18763062,0,否,三星,否
418,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,37,91,11,否,男,5G,否,0.0,是,0.0,0.0,3335,0,苹果,A2634,216.9,3335,248.16,711,0.0,44494609,0,是,银卡,否
419,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,4,9,1,否,女,4G,否,0.0,是,0.0,0.0,198,0,苹果,A2108,45.0,198,46.8,75,0.0,18848530,0,否,三星,否
420,1,1,2,-1,-1,-1,-1,-1,-1,,-1,-1,3,4,5,-1,-1,,4,6,4,否,女,5G,否,0.0,是,0.0,0.0,958,0,苹果,A2404,78.0,958,78.0,867,0.0,12598862,0,是,三星,否
421,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,9,6,0,否,女,4G,否,0.0,是,0.0,0.0,184,0,华为,TAS-AN00,9.0,184,12.2,173,0.0,82344,0,否,三星,否
422,1,1,2,-1,-1,5,6,7,-1,,1,-1,3,-1,-1,-1,-1,,17,7,2,否,女,4G,否,0.0,是,0.0,0.0,355,0,苹果,A2298,41.35,355,43.75,160,0.0,2642499,0,否,一星,否
423,1,1,2,-1,-1,-1,6,-1,-1,,-1,-1,-1,4,-1,-1,-1,,1,15,0,否,女,5G,否,0.0,是,0.0,0.0,160,0,华为,TAS-AN00,10.0,160,20.0,108,0.0,63040,0,是,三星,否
424,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,3,66,4,否,女,5G,否,0.0,是,0.0,0.0,504,0,苹果,A2412,152.4,504,133.1,270,0.0,34226431,0,是,银卡,否
425,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,28,13,2,否,男,4G,否,0.0,是,0.0,0.0,232,0,小米科技,M2003J15SC,60.0,232,60.0,186,4.58861876444795e-07,54482626,25,否,三星,否
426,1,1,-1,-1,-1,-1,6,-1,-1,,1,2,3,4,5,6,-1,,15,356,45,否,男,5G,否,32.52,是,10.0,0.0,1108,0,苹果,A2639,111.12,1108,116.6,565,0.0,16714723,0,是,三星,否
427,1,-1,-1,-1,-1,-1,6,-1,-1,,1,-1,-1,-1,-1,-1,-1,,2,48,3,否,男,4G,否,0.0,是,0.0,0.0,699,0,华为,TAS-AN00,74.0,699,74.0,277,0.0,217292,0,否,三星,是
428,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,-1,-1,,6,23,1,否,女,5G,否,0.0,是,0.0,0.0,269,0,小米科技,M2012K11AC,58.0,269,58.0,258,0.0,5983893,0,是,三星,否
429,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,3,26,2,否,男,4G,否,0.0,是,0.0,0.0,1681,0,华为,BKL-AL20,235.0,1681,232.61,622,0.0,41337516,0,否,银卡,否
430,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,4,-1,-1,-1,,0,1,1,否,男,5G,否,0.0,是,0.0,0.0,332,0,步步高,V2072A,38.0,332,38.0,68,0.0,661418,0,是,三星,否
431,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,18,4,0,否,男,4G,否,0.0,是,0.0,0.0,124,0,小米科技,M2010J19SC,49.0,124,49.0,87,0.0,40489516,0,否,三星,否
432,1,-1,-1,-1,-1,5,-1,-1,-1,,1,-1,-1,-1,-1,-1,-1,,60,5,1,否,男,5G,否,0.0,是,0.0,0.0,489,0,步步高,V1962A,145.2,489,116.1,155,0.0,20632225,0,是,银卡,否
433,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,18,0,0,否,男,4G,否,0.0,是,0.0,0.0,418,0,华为,HMA-AL00,96.68,418,84.23,260,1.12755278923511e-05,7715825,87,否,一星,否
434,1,-1,-1,-1,-1,-1,6,-1,-1,,1,-1,-1,-1,-1,-1,-1,,0,0,0,否,男,4G,否,18.69,是,5.51,0.0,278,0,小米科技,M2006C3LC,14.27,278,20.12,327,0.0,21489,0,否,三星,否
435,1,-1,-1,-1,-1,5,6,7,-1,,1,-1,-1,-1,-1,-1,-1,,4,26,0,否,男,5G,否,0.0,是,0.0,0.0,426,0,苹果,A2400,33.0,426,33.0,307,0.0,3698185,0,是,三星,否
436,1,-1,-1,-1,-1,5,-1,-1,-1,,1,2,-1,4,-1,-1,-1,,4,22,1,否,男,4G,否,0.0,是,0.0,0.0,256,0,苹果,A2217,21.1,256,21.1,450,0.0,5580994,0,否,二星,否
437,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,13,35,1,否,男,4G,否,0.0,是,0.0,0.0,443,0,华为,POT-AL00a,72.9,443,70.0,610,0.0,25002534,0,否,二星,否
438,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,,3,0,0,否,男,4G,否,0.0,是,0.0,0.0,307,0,华为,TAS-AN00,110.0,307,110.0,365,0.0,6965512,0,否,银卡,否
439,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,-1,-1,,50,0,0,否,男,4G,否,0.0,是,0.0,0.0,275,0,华为,SEA-AL10,119.9,275,100.0,161,0.0,80409775,0,否,二星,是
440,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,-1,-1,,1,6,1,否,男,5G,否,0.0,是,0.0,0.0,276,0,苹果,A2404,53.8,276,72.89,361,0.0,2808870,0,是,三星,否
441,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,14,41,2,否,性别不详,4G,否,0.0,是,0.0,0.0,843,0,苹果,iPhone X A1865,93.3,843,90.0,278,0.0,7615067,0,否,银卡,否
442,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,3,1,0,否,女,4G,否,0.0,是,0.0,0.0,162,0,华为,PAR-AL00,26.7,162,27.35,230,0.0,5538257,0,否,三星,否
443,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,12,0,否,男,4G,是,0.0,是,0.0,0.0,149,0,小米科技,HMNote8M1908C3JE,5.94,149,5.76,134,0.0,7029800,0,否,二星,否
444,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,2,0,0,否,男,4G,否,0.0,是,0.0,0.0,337,0,华为,TEL_AN10,8.5,337,8.0,254,0.0,1860562,0,否,三星,否
445,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,27,8,否,男,4G,否,0.0,是,0.0,0.0,824,0,小米科技,HMK20ProM1903F11A,134.04,824,68.64,392,0.0,7146258,0,否,三星,否
446,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,13,18,1,否,男,4G,否,0.0,是,0.0,0.0,279,0,华为,BLN-AL10,48.0,279,48.0,69,0.0,15304936,0,否,三星,否
447,1,1,2,-1,-1,-1,-1,-1,-1,,-1,2,-1,4,-1,-1,-1,,0,0,1,否,男,5G,否,0.0,是,0.0,0.0,208,0,华为,ELS-AN00,130.0,208,130.0,133,0.0,11494219,0,是,银卡,是
448,1,-1,-1,-1,4,-1,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,,8,9,0,否,男,4G,否,0.0,是,0.0,0.0,217,0,欧珀,PDBM00,23.0,217,23.0,265,0.0,3582997,0,否,三星,否
449,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,2,0,0,否,女,4G,否,0.0,是,0.0,0.0,314,0,苹果,iPhone XS MAX (A1921),29.98,314,32.33,408,0.0,253053,0,否,三星,否
450,1,-1,-1,-1,4,-1,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,1,7,0,否,男,4G,否,0.0,是,0.0,0.0,399,0,苹果,A2220,56.6,399,56.3,319,0.0,28831565,0,否,三星,是
451,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,5,28,4,否,男,4G,否,0.0,是,0.0,0.0,598,0,华为,EVR-AL00,138.1,598,128.1,342,0.0,22546468,0,否,银卡,否
452,1,1,2,-1,-1,5,-1,-1,98,医院,-1,-1,-1,4,-1,6,-1,,5,14,0,否,女,4G,否,0.0,是,0.0,0.0,319,0,华为,VTR-AL00,114.61,319,111.2,97,0.0,38151727,0,否,银卡,是
453,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,,13,17,0,否,男,4G,否,340.76,是,10.0,0.0,649,0,苹果,iPhone X A1865,141.0,649,111.8,413,0.0,49191750,0,否,银卡,否
454,1,1,2,-1,-1,5,6,-1,-1,,1,2,3,-1,-1,6,-1,,1,17,2,否,女,4G,否,0.0,是,0.0,0.0,334,0,苹果,iPhone X A1865,79.92,334,64.53,223,0.0,14706155,0,否,三星,否
455,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,2,2,1,否,男,5G,否,9971.24,是,132.0,0.0,206,0,华为,CDY-AN00,251.0,206,143.0,270,0.000173917614122524,83177314,14466,是,银卡,否
456,1,-1,-1,-1,-1,-1,-1,-1,98,高铁站，开车时,-1,-1,-1,4,-1,6,-1,,0,23,0,否,性别不详,5G,是,0.0,是,0.0,0.0,408,0,小米科技,M2102J2SC,160.0,408,160.0,457,0.0,9253281,0,是,银卡,否
457,1,-1,2,-1,-1,-1,-1,-1,-1,,1,-1,3,-1,-1,-1,-1,,2,2,1,否,女,4G,否,0.0,是,0.0,0.0,229,0,苹果,iPhone 8 Plus A1864,19.0,229,19.0,139,0.0,6574617,0,否,三星,否
458,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,1,1,否,男,5G,否,0.0,是,0.0,0.0,205,0,中邮通信,Hera-BD00,227.0,205,227.3,421,0.0,3330095,0,是,金卡,否
459,1,-1,2,-1,-1,-1,-1,-1,-1,,1,-1,-1,4,-1,6,-1,,1,16,0,否,男,4G,否,8.34,是,2.32,0.0,295,0,苹果,A2634,145.72,295,120.0,206,0.0,22028806,0,否,银卡,否
460,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,6,-1,,2,10,1,否,男,4G,否,0.0,是,0.0,0.0,132,0,步步高,V1818CA,40.0,132,40.0,142,0.0,20644788,0,否,三星,否
461,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,32,26,2,否,性别不详,5G,否,0.0,是,0.0,0.0,416,0,苹果,A2412,54.3,416,49.0,307,0.0,10906273,0,是,三星,否
462,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,1,18,4,否,女,4G,否,0.0,是,0.0,0.0,212,0,华为,JSN-AL00,65.0,212,70.0,157,0.0,2364772,0,否,三星,是
463,1,1,2,-1,-1,5,-1,-1,-1,,-1,2,3,4,-1,6,-1,,3,0,0,否,女,4G,否,0.0,是,0.0,0.0,290,0,苹果,A2223,58.0,290,58.0,355,0.0,19466192,0,否,三星,否
464,1,1,2,-1,-1,-1,-1,7,-1,,1,2,-1,4,-1,-1,-1,,51,48,1,否,男,5G,否,0.0,是,0.0,0.0,1395,0,苹果,A2412,261.0,1395,261.1,566,0.0,33586768,0,是,金卡,否
465,1,-1,2,-1,-1,-1,-1,-1,-1,,-1,2,-1,-1,-1,-1,-1,,32,24,0,否,男,5G,否,0.0,是,0.0,0.0,256,0,万普拉斯,IN2020,45.0,256,51.0,61,0.0,17794843,0,是,二星,否
466,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,2,0,0,否,男,5G,否,0.0,是,0.0,0.0,234,0,华为,NOH-AN00,145.0,234,53.0,210,2.28476780454981e-05,13086669,299,是,三星,是
467,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,4,-1,6,-1,,1,20,2,否,女,4G,否,0.0,是,0.0,0.0,595,0,苹果,A2223,33.6,595,20.47,433,0.0,16575985,0,否,三星,否
468,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,26,0,0,否,男,5G,否,0.0,是,0.0,0.0,137,0,华为,ALA-AN70,83.1,137,67.21,122,0.0,707832,0,是,三星,否
469,1,-1,2,-1,-1,5,-1,-1,-1,,1,-1,-1,4,-1,-1,-1,,3,6,1,否,男,5G,否,0.0,是,0.0,0.0,560,0,华为,CDY-AN20,56.2,560,60.0,397,0.0,40475768,0,是,三星,是
470,1,-1,-1,-1,-1,5,-1,-1,-1,,-1,2,3,4,-1,6,-1,,2,1,10,否,女,5G,否,0.0,是,0.0,0.0,469,0,三星,SM-F7110,115.0,469,115.0,712,0.0,11872547,0,是,银卡,否
471,1,-1,2,-1,-1,5,-1,-1,-1,,1,-1,-1,4,-1,-1,-1,,0,16,1,否,男,4G,否,0.0,是,0.0,0.0,177,0,苹果,iPhone 8 Plus A1864,18.64,177,11.75,89,0.0,71039,0,否,三星,否
472,1,1,-1,-1,4,5,-1,-1,-1,,1,2,3,-1,-1,6,-1,,10,77,0,否,女,5G,否,0.0,是,0.0,0.0,1022,0,苹果,A2412,62.0,1022,63.0,207,0.0,5707430,0,是,三星,否
473,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,5,4,1,否,男,5G,否,0.0,是,0.0,0.0,853,0,步步高,V1986A,162.0,853,167.0,657,0.00110213082632715,18304542,20174,是,银卡,否
474,1,-1,-1,-1,-1,-1,6,-1,-1,,-1,-1,-1,4,-1,6,-1,,2,3,0,否,男,5G,否,0.0,是,0.0,0.0,237,0,苹果,A2404,36.2,237,37.1,159,0.0,20227177,0,是,三星,否
475,1,1,-1,-1,-1,-1,-1,7,-1,,-1,-1,-1,4,-1,6,-1,,2,15,0,否,性别不详,5G,否,0.0,是,0.0,0.0,263,0,小米科技,M2102K1C,26.39,263,11.0,94,0.0,29088771,0,是,三星,否
476,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,6,0,3,否,男,5G,是,0.0,是,0.0,0.0,248,0,华为,JEF-AN20,140.0,248,140.0,124,0.0,56627659,0,是,银卡,否
477,1,1,2,-1,-1,5,-1,-1,-1,,1,-1,3,4,-1,6,-1,,12,22,1,否,男,4G,否,0.0,是,0.0,0.0,345,0,苹果,iPhone 6S Plus A1687,60.1,345,60.1,131,0.0,2620711,0,否,三星,是
478,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,138,15,0,否,女,4G,否,0.0,是,0.0,0.0,280,0,步步高,V1829A,69.0,280,69.0,247,0.0,3761956,0,否,三星,否
479,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,20,19,0,否,男,4G,否,0.0,是,0.0,0.0,191,0,华为,ALP-AL00,35.0,191,45.0,263,0.0,11158572,0,否,三星,否
480,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,161,10,1,否,女,4G,否,0.0,是,0.0,0.0,162,0,欧珀,PCAM00,1.32,162,0.36,163,0.0,2902391,0,否,三星,否
481,1,1,2,-1,-1,5,-1,-1,-1,,-1,2,3,-1,-1,6,-1,,25,27,13,否,男,4G,否,0.0,是,0.0,0.0,1221,0,realme,RMX1851,70.0,1221,70.0,630,0.0,1922065,0,否,三星,否
482,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,1,2,0,否,男,5G,否,0.0,是,0.0,0.0,242,0,苹果,A2644,53.1,242,48.4,203,0.0,10333575,0,是,三星,否
483,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,6,0,否,女,4G,否,0.0,是,0.0,0.0,492,0,华为,JAD-AL00,20.15,492,20.0,189,0.0,1588200,0,否,二星,否
484,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,5,37,1,否,男,4G,否,0.0,是,0.0,0.0,407,0,苹果,A2408,90.0,407,90.0,283,0.0,13402384,0,否,三星,否
485,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,,22,19,1,否,性别不详,4G,否,0.0,是,0.0,0.0,192,0,华为,FRD-AL10,59.0,192,88.0,48,0.0,771617,0,否,三星,否
486,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,7,0,2,否,男,5G,否,0.0,是,0.0,0.0217391304347826,184,4,小米科技,M2001J2C,70.0,184,70.0,194,0.0724335945859429,5616786,406844,是,三星,否
487,1,-1,2,-1,-1,5,-1,7,-1,,1,-1,3,4,-1,-1,-1,,6,5,2,否,女,5G,否,0.0,是,0.0,0.0,218,0,苹果,iPhone 7Plus A1661,110.0,218,110.0,108,0.0,15539300,0,是,三星,否
488,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,4,-1,6,-1,,5,0,0,否,男,4G,否,0.0,是,0.0,0.0,138,0,华为,EVR-AL00,29.0,138,55.0,121,0.0,22970118,0,否,三星,否
489,1,1,-1,-1,-1,5,-1,-1,-1,,-1,-1,3,4,-1,6,-1,,4,8,0,否,男,5G,否,0.0,是,0.0,0.0,174,0,华为,EVR-AN00,49.0,174,49.0,116,0.0,4260044,0,是,三星,否
490,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,50,0,0,否,男,4G,否,0.0,是,0.0,0.0,221,0,华为,CLT-AL01,51.28,221,49.0,107,0.0,7076615,0,否,三星,否
491,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,2,0,0,否,女,4G,否,0.0,是,0.0,0.0,183,0,华为,HLK-AL00,59.0,183,69.0,79,0.0,3262419,0,否,三星,否
492,1,1,-1,-1,-1,-1,-1,7,-1,,-1,2,-1,4,-1,-1,-1,,0,19,2,否,男,5G,否,0.0,是,0.0,0.0,1813,0,苹果,iPhone X A1865,100.0,1813,100.0,413,0.0,30989205,0,是,三星,是
493,1,-1,-1,-1,-1,-1,-1,-1,98,高速,-1,-1,-1,4,-1,6,-1,,13,11,0,否,男,4G,否,38.26,是,10.0,0.0,273,0,步步高,V2162A,23.57,273,9.16,184,0.0,12799446,0,否,三星,否
494,1,-1,-1,3,-1,-1,-1,-1,-1,,-1,-1,3,4,-1,6,-1,,13,4,2,否,女,4G,是,0.0,是,0.0,0.0,132,0,苹果,iPhone 7 A1660,21.0,132,21.0,129,0.0,15790754,0,否,二星,否
495,1,1,2,3,4,5,6,7,-1,,1,2,3,4,5,6,-1,,39,18,11,否,男,5G,否,0.0,是,0.0,0.0,247,0,苹果,A2644,79.15,247,61.15,204,0.0,20746464,0,是,三星,否
496,1,-1,2,-1,-1,5,-1,-1,-1,,-1,-1,3,4,-1,-1,-1,,46,8,1,否,女,5G,否,0.0,是,0.0,0.0,284,0,苹果,A2408,109.0,284,68.0,160,0.0,5345480,0,是,三星,否
497,1,-1,-1,-1,-1,5,-1,7,-1,,1,2,3,4,-1,6,-1,,7,16,0,否,男,5G,否,0.0,是,0.0,0.0,195,0,小米科技,M2101K9C,39.0,195,38.0,99,0.0,41384941,0,是,三星,否
498,1,1,2,-1,-1,5,-1,7,-1,,-1,-1,3,4,5,-1,-1,,30,13,0,否,女,4G,否,0.0,是,0.0,0.0,1040,0,华为,VOG-AL00,104.26,1040,77.08,724,0.0,14800738,0,否,三星,否
499,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,1,0,4,否,女,5G,否,0.0,是,0.0,0.0,158,0,小米科技,M2104K10AC,50.28,158,54.46,298,0.0,3998346,0,是,三星,否
500,1,1,2,-1,-1,-1,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,1,6,0,否,男,5G,否,0.0,是,0.0,0.0,282,0,苹果,A2412,159.0,282,112.0,143,0.0,4303617,0,是,银卡,否
501,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,2,0,0,否,女,4G,是,0.0,是,0.0,0.0,181,0,小米科技,M1804E4A,26.1,181,28.99,397,0.0,12245905,0,否,三星,否
502,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,17,22,0,否,男,4G,否,80.54,是,18.41,0.0,552,0,华为,YAL-AL50,83.81,552,18.0,222,0.0,21442041,0,否,三星,否
503,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,5,13,0,否,女,5G,否,0.0,是,0.0,0.0,175,0,苹果,A2404,70.0,175,73.48,122,0.0,13152786,0,是,三星,否
504,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,31,27,2,否,男,4G,否,0.0,是,0.0,0.0,407,0,苹果,A2634,25.0,407,25.0,166,0.0,9649793,0,否,二星,否
505,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,18,14,11,否,男,5G,否,0.0,是,0.0,0.0,629,0,苹果,A2412,250.0,629,250.0,1135,0.0,11943333,0,是,白金卡,否
506,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,,3,3,6,否,性别不详,5G,否,0.0,是,0.0,0.0,1377,0,华为,JEF-AN00,261.0,1377,261.0,634,0.0,42373624,0,是,金卡,是
